epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,676.06,1.42217,2.98859,1.0483,0.47556,0.13439,0.0901,0.05848,1.5002,3.99346,1.15652,0.000144353,0.000144353,0.000144353
2,1306.39,1.35194,1.8027,1.0286,0.47787,0.18284,0.17414,0.10953,1.53543,3.32635,1.1315,0.000283623,0.000283623,0.000283623
3,1965.09,1.31425,1.59789,1.01366,0.55118,0.11677,0.1445,0.09382,1.66477,3.47886,1.17308,0.000417152,0.000417152,0.000417152
4,2671.66,1.30583,1.43855,1.01141,0.46848,0.17745,0.14461,0.09661,1.57377,3.47727,1.17109,0.000409161,0.000409161,0.000409161
5,3371.39,1.28139,1.35084,1.00056,0.56538,0.17729,0.20035,0.13984,1.50685,2.94476,1.12848,0.000400548,0.000400548,0.000400548
6,4096.49,1.25442,1.29312,0.99165,0.59261,0.19868,0.18746,0.12456,1.55101,2.96072,1.13806,0.000391935,0.000391935,0.000391935
7,4832.2,1.25213,1.22099,0.98992,0.62352,0.17243,0.18787,0.12302,1.52363,2.99467,1.14345,0.000383322,0.000383322,0.000383322
8,5582.37,1.23869,1.19029,0.98778,0.58145,0.16532,0.17218,0.11379,1.53532,2.94024,1.13733,0.000374709,0.000374709,0.000374709
9,6296.21,1.2198,1.12539,0.98318,0.60868,0.15345,0.17583,0.1236,1.6165,3.11693,1.13555,0.000366096,0.000366096,0.000366096
10,7024.26,1.2131,1.1183,0.97966,0.69792,0.17312,0.18168,0.12142,1.64413,2.84117,1.15474,0.000357483,0.000357483,0.000357483
11,7710.54,1.19535,1.05399,0.9732,0.37409,0.23995,0.20089,0.13907,1.54309,2.58625,1.12806,0.00034887,0.00034887,0.00034887
12,8425.84,1.19555,1.02517,0.97184,0.45379,0.27389,0.20467,0.13934,1.56186,2.53799,1.11416,0.000340257,0.000340257,0.000340257
13,9094.18,1.1834,1.02616,0.97188,0.49665,0.27396,0.20863,0.14834,1.58322,2.68556,1.14445,0.000331644,0.000331644,0.000331644
14,9747.35,1.17321,1.00652,0.97038,0.39751,0.28534,0.22498,0.15236,1.55163,2.41368,1.12844,0.000323031,0.000323031,0.000323031
15,10415,1.17219,0.97104,0.96723,0.4831,0.25012,0.22875,0.14698,1.65842,2.45285,1.15412,0.000314418,0.000314418,0.000314418
16,11080.2,1.16714,0.96375,0.96295,0.50956,0.22688,0.19893,0.13078,1.50759,2.59389,1.1275,0.000305805,0.000305805,0.000305805
17,11738.6,1.15173,0.93053,0.9663,0.3841,0.27968,0.21153,0.14748,1.58365,2.53709,1.13209,0.000297192,0.000297192,0.000297192
18,12394.7,1.15304,0.91755,0.95992,0.42615,0.26511,0.20737,0.13904,1.66657,2.58469,1.14584,0.000288579,0.000288579,0.000288579
19,13044.5,1.15039,0.92965,0.96236,0.50229,0.23919,0.21546,0.14654,1.55769,2.61503,1.11875,0.000279966,0.000279966,0.000279966
20,13689.8,1.13661,0.90161,0.95694,0.44082,0.25133,0.21553,0.14297,1.5483,2.58966,1.14669,0.000271353,0.000271353,0.000271353
21,14336.8,1.13401,0.87833,0.95642,0.50508,0.22957,0.21396,0.15055,1.5228,2.73535,1.11853,0.00026274,0.00026274,0.00026274
22,14990,1.12576,0.86859,0.95364,0.53668,0.27568,0.23049,0.15938,1.55648,2.53278,1.14459,0.000254127,0.000254127,0.000254127
23,15688.8,1.12991,0.85776,0.95305,0.46437,0.28142,0.22114,0.14992,1.64945,2.54157,1.13385,0.000245514,0.000245514,0.000245514
24,16453.2,1.12148,0.85307,0.95475,0.49857,0.25823,0.22401,0.15676,1.60527,2.45155,1.13788,0.000236901,0.000236901,0.000236901
25,17204.1,1.11511,0.83555,0.94731,0.57041,0.27317,0.22616,0.14898,1.5205,2.43061,1.11948,0.000228288,0.000228288,0.000228288
26,17964,1.10613,0.83793,0.94676,0.4928,0.2491,0.20797,0.14072,1.59812,2.65573,1.13156,0.000219675,0.000219675,0.000219675
27,18666.2,1.11869,0.82175,0.94728,0.61719,0.26097,0.24456,0.16721,1.52505,2.41806,1.1358,0.000211062,0.000211062,0.000211062
28,19409.4,1.09562,0.8151,0.94911,0.48647,0.30548,0.26623,0.16893,1.54936,2.25934,1.15777,0.000202449,0.000202449,0.000202449
29,20043.2,1.09209,0.79327,0.94902,0.6093,0.24402,0.24723,0.16381,1.51757,2.35449,1.115,0.000193836,0.000193836,0.000193836
30,20623.3,1.07661,0.78816,0.94413,0.52286,0.2612,0.24362,0.16859,1.48998,2.55111,1.11912,0.000185223,0.000185223,0.000185223
31,21210.5,1.09108,0.78156,0.9406,0.51229,0.30727,0.24655,0.1672,1.56628,2.32664,1.12349,0.00017661,0.00017661,0.00017661
32,21847.5,1.06013,0.75758,0.93798,0.53284,0.23925,0.23013,0.15727,1.49973,2.56953,1.11603,0.000167997,0.000167997,0.000167997
